variavel,tipo,disponibilidade,forca_Y1,classe_Y1,forca_Y2,classe_Y2,muda_de_papel,decisao,n_categorias,nota_disponibilidade
ano_modelo,quantitativa,DISPONIVEL,0.0414,fraca,0.2679,moderada,SOBE em Y2 (fraca em Y1),RETIRAR,,Atributo estatico do ativo
anos_ativo_ate_ano_anterior,quantitativa,DISPONIVEL,0.2602,moderada,0.1853,moderada,,MANTER como feature,,Historico ate t-1
suspension_type,categorica,DISPONIVEL,0.1603,moderada,0.2489,moderada,,RETIRAR,9.0,Atributo estatico do ativo
tipo_manutencao_ano,categorica,DISPONIVEL (contrato vigente),0.1828,moderada,0.2477,moderada,,DUMMY (one-hot),5.0,Regime do contrato em vigor - conhecido antes do reparo
share_maint_ano,quantitativa,CONTEMPORANEA,0.23,moderada,0.1983,moderada,,MANTER como feature,,Composicao contratual do ano corrente
tire_size,categorica,DISPONIVEL,0.1578,moderada,0.2102,moderada,,DUMMY (one-hot),25.0,Atributo estatico do ativo
idade_carreta,quantitativa,DISPONIVEL,0.0321,fraca,0.1963,moderada,SOBE em Y2 (fraca em Y1),MANTER como feature,,Deterministica: idade_2026 = idade_2025 + 1
new_used_indicator,categorica,DISPONIVEL,0.1144,fraca,0.1934,moderada,SOBE em Y2 (fraca em Y1),RETIRAR,3.0,Atributo estatico do ativo
regiao_operacao,categorica,CONTEMPORANEA,0.076,fraca,0.1535,moderada,SOBE em Y2 (fraca em Y1),RETIRAR,10.0,Regiao predominante do ano corrente
tempo_contrato_meses_fim_ano,quantitativa,CONTEMPORANEA,0.1403,fraca,0.1507,moderada,SOBE em Y2 (fraca em Y1),MANTER como feature,,Maturidade no fim do ano corrente
provincia_estado,categorica,CONTEMPORANEA,0.1417,fraca,0.1124,fraca,,RETIRAR,24.0,Provincia predominante do ano corrente
tempo_contrato_meses_inicio_ano,quantitativa,DISPONIVEL,0.1155,fraca,0.1379,fraca,,MANTER como feature,,Maturidade contratual em t-1
comprimento,quantitativa,DISPONIVEL,0.097,fraca,0.1132,fraca,,RETIRAR,,Atributo estatico do ativo
trocou_contrato_ano,quantitativa,CONTEMPORANEA,0.0844,fraca,0.0364,fraca,,MANTER como feature,,Troca ocorrida no ano corrente
eixos,quantitativa,DISPONIVEL,0.0506,fraca,0.0246,fraca,,MANTER como feature,,Atributo estatico do ativo
tailgate_flag,categorica,DISPONIVEL,,nao calculavel,,nao calculavel,,DUMMY (one-hot),1.0,Atributo estatico - porem constante
